GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0,008124117;0,012555224
AR;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;12;E;13;NO;5;49;NO;NO;NO;NO;0,004182593;0,011486734
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;YES;NO;NO;VOICE CONTROL;0,002014304;0,011074837
BH;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;YES;10;E;12;NO;5;50;NO;n.a.;NO;VOICE CONTROL;0,006094219;0,00984868
AR;Great Britain;FREESTANDING;FULLSIZE;WHITE;NO;NO;12;E;13;NO;4;49;NO;n.a.;NO;NO;0,005070486;0,009082833
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,003189325;0,00758976
BH;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;E;13;YES;6;48;YES;n.a.;NO;VOICE CONTROL;0,004454124;0,006109255
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;12;E;13;NO;7;46;NO;NO;NO;NO;0,005613378;0,006011032
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;YES;6;48;NO;NO;NO;VOICE CONTROL;0,001674902;0,005184606
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0,005453918;0,004963033
AR;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;11;E;10;NO;4;49;NO;n.a.;NO;NO;0,001384464;0,004269671
TR;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;12;E;12;NO;6;49;NO;n.a.;NO;NO;0,004037177;0,004240059
TR;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;NO;6;44;YES;NO;NO;NO;0,004248703;0,004176345
AR;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;11;E;10;NO;5;49;NO;YES;NO;NO;0,003550971;0,004165659
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;44;NO;NO;NO;NO;0,004805612;0,004148256
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0,003450495;0,004101491
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;12;YES;6;44;NO;NO;NO;VOICE CONTROL;0,001439653;0,004057113
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;6;46;YES;NO;NO;VOICE CONTROL;0,00366129;0,0038849
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,002507483;0,003701876
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;6;44;YES;NO;NO;VOICE CONTROL;0;0,003636114
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;YES;NO;NO;NO;0,002712824;0,003565582
TR;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;C;10;YES;10;41;YES;NO;NO;NO;0,003542074;0,00353441
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,002990882;0,003503031
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;YES;11;41;YES;NO;NO;NO;0,000761579;0,003489744
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;13;NO;5;49;NO;NO;NO;NO;0,003854716;0,003472947
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0,003298418;0,003361914
TR;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;NO;6;47;NO;NO;NO;NO;0,001817143;0,003341555
BH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;YES;5;48;NO;NO;NO;NO;0,001205033;0,003317139
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;E;13;NO;5;46;NO;YES;NO;NO;0,002391447;0,003261018
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;NO;10;43;NO;NO;NO;NO;0,005022251;0,003259837
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;14;NO;7;44;YES;NO;NO;NO;0,003088847;0,003248065
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;5;44;YES;NO;NO;VOICE CONTROL;0;0,00324053
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;E;13;NO;5;47;NO;NO;NO;NO;0,001994296;0,003197
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,002627002;0,003144472
BH;Great Britain;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;9;E;13;YES;6;48;YES;n.a.;NO;VOICE CONTROL;0,001651007;0,003119509
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0,001677837;0,003114919
BH;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;8;E;9;YES;5;48;NO;NO;NO;VOICE CONTROL;0,002105973;0,003096606
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0,002110807;0,003074071
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,002563164;0,003063006
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;44;NO;YES;NO;NO;0,00361423;0,003060335
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;10;43;YES;NO;NO;NO;0,002720732;0,003048848
TR;Germany;FREESTANDING;SLIMLINE;WHITE;YES;YES;11;E;10;NO;6;49;NO;n.a.;NO;NO;0,002587892;0,003044566
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0,00271788;0,002941704
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0,002544222;0,002877068
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;14;NO;6;44;YES;YES;NO;NO;0,002855255;0,002858112
TR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;15;NO;9;42;YES;NO;NO;NO;0,001274776;0,002773268
AR;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;D;14;NO;6;48;NO;NO;NO;NO;0,001907852;0,002772184
BH;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;9;F;9;NO;5;48;NO;n.a.;NO;VOICE CONTROL;0,00251838;0,002755934
